Release,prsClosed,issuesClosed,issuesOpened,prsOpened,contributors,ReleaseDate
112,3,0,0,2,2,2014-07-08T20:27:26Z
1.13.0-beta0,6,0,0,7,5,2016-11-09T19:55:15Z
1.5.0-beta1,0,0,0,0,0,2016-01-25T18:29:46Z
0.185.0,13,0,0,13,10,2015-03-03T19:09:33Z
0.192.0,3,0,0,6,6,2015-04-15T17:32:22Z
0.196.0,0,0,0,0,0,2015-04-30T20:36:42Z
Molybdenum,2,0,0,4,3,2013-12-06T00:44:55Z
Gallium,0,0,0,0,0,2013-10-04T21:10:47Z
Iodine,1,0,0,2,2,2014-02-26T00:09:13Z
1.15.0-beta3,0,0,0,0,0,2017-02-17T17:26:09Z
0.194.0,5,0,0,3,3,2015-04-22T01:56:56Z
1.17.0-beta0,5,0,0,4,3,2017-04-12T18:00:29Z
110,5,0,0,5,2,2014-07-08T01:06:35Z
0.195.0,27,0,0,30,16,2015-04-30T18:37:06Z
1.17.0-beta4,7,0,0,11,8,2017-04-26T18:30:17Z
1.4.0-beta3,3,0,0,2,2,2015-12-18T22:09:25Z
Caesium,0,0,0,0,0,2014-02-26T03:55:19Z
71,2,0,0,1,1,2014-03-10T18:18:56Z
0.187.0,13,0,0,19,11,2015-03-09T21:07:04Z
109,7,0,0,9,6,2014-07-07T20:36:20Z
128,7,0,0,7,5,2014-09-16T16:00:30Z
1.0.3,54,0,0,59,31,2015-07-28T17:57:44Z
Cerium,0,0,0,0,0,2014-02-26T19:55:43Z
0.169.0,3,0,0,3,3,2015-01-08T17:42:08Z
1.2.3,1,0,0,4,3,2015-11-19T15:13:37Z
74,6,0,0,7,6,2014-03-20T16:26:13Z
1.4.0,19,0,0,17,11,2016-01-13T21:29:22Z
139,13,0,0,11,7,2014-10-22T17:21:08Z
1.12.6,10,0,0,12,9,2016-11-25T13:22:11Z
1.5.0,22,0,0,17,9,2016-02-09T18:40:36Z
163,1,0,0,1,1,2014-12-19T21:27:45Z
87,2,0,0,3,1,2014-04-16T01:07:57Z
132,6,0,0,3,3,2014-09-26T22:17:35Z
159,6,0,0,8,8,2014-12-16T20:57:00Z
Barium,1,0,0,0,0,2014-02-26T17:22:02Z
1.14.2,5,0,0,10,6,2017-02-14T18:24:48Z
1.10.2,0,0,0,0,0,2016-09-07T21:06:15Z
1.3.0-beta2,2,0,0,11,6,2015-11-17T16:53:13Z
Strontium,0,0,0,0,0,2013-11-19T17:08:24Z
1.15.0-beta0,0,0,0,0,0,2017-02-08T19:53:04Z
1.7.0-beta5,8,0,0,11,9,2016-04-07T21:52:44Z
1.3.0-beta4,1,0,0,0,0,2015-11-18T19:07:48Z
1.14.0-beta0,0,0,0,0,0,2017-01-10T18:13:19Z
1.5.0-beta0,0,0,0,0,0,2016-01-13T21:29:23Z
82,7,0,0,7,4,2014-04-03T15:25:08Z
1.5.1,5,0,0,3,3,2016-02-10T20:17:43Z
93,11,0,0,12,5,2014-05-06T13:39:10Z
1.11.0-beta1,7,0,0,7,6,2016-09-01T09:09:29Z
0.208.0,19,0,0,17,12,2015-06-09T18:51:39Z
1.5.3,5,0,0,6,5,2016-02-12T20:35:18Z
1.14.4,0,0,0,0,0,2017-02-27T17:32:59Z
Rhodium,29,0,0,30,7,2014-01-15T00:39:14Z
1.0.11,2,0,0,4,3,2015-09-02T18:20:59Z
1.14.0-beta4,5,0,0,5,5,2017-02-02T14:01:45Z
162,2,0,0,3,3,2014-12-18T19:27:23Z
164,1,0,0,0,0,2014-12-20T02:44:21Z
137,21,0,0,30,17,2014-10-15T18:28:37Z
102,3,0,0,3,3,2014-06-09T16:32:06Z
124,17,0,0,16,11,2014-08-26T18:39:51Z
1.15.0,16,0,0,21,11,2017-03-08T20:18:47Z
81,0,0,0,0,0,2014-03-31T18:34:06Z
141,5,0,0,7,6,2014-10-30T18:03:35Z
156,1,0,0,0,0,2014-12-10T20:31:46Z
0.204.0,0,0,0,0,0,2015-05-28T16:06:56Z
1.3.0,1,0,0,1,1,2015-12-09T22:18:25Z
0.183.0,15,0,0,16,11,2015-02-25T18:19:55Z
Niobium,2,0,0,1,1,2013-12-05T00:32:52Z
1.12.2,4,0,0,4,3,2016-11-11T21:12:29Z
1.10.0-beta0,0,0,0,0,0,2016-07-29T22:51:45Z
1.12.9,3,0,0,4,3,2017-01-04T23:19:46Z
0.206.0,14,0,0,8,7,2015-06-04T21:07:53Z
1.12.8,0,0,0,0,0,2017-01-03T20:05:15Z
1.9.3,4,0,0,2,1,2016-08-04T21:03:06Z
1.12.0,0,0,0,0,0,2016-11-09T19:55:15Z
88,0,0,0,0,0,2014-04-16T15:56:24Z
1.12.0-beta5,10,0,0,9,9,2016-10-27T20:43:19Z
79,1,0,0,1,1,2014-03-27T11:28:26Z
1.10.0,18,0,0,19,13,2016-08-30T17:58:46Z
1.11.0-beta3,3,0,0,2,2,2016-09-02T14:07:06Z
Bromine,16,0,0,14,7,2013-11-08T16:46:21Z
1.2.0-beta3,12,0,0,8,5,2015-11-11T19:05:34Z
1.8.0,1,0,0,1,1,2016-06-06T21:29:19Z
0.200.0,10,0,0,11,8,2015-05-19T22:25:58Z
1.0.7,3,0,0,1,1,2015-08-12T21:33:28Z
1.9.0-beta1,53,0,0,65,36,2016-07-22T22:43:06Z
1.10.0-beta6,14,0,0,17,12,2016-08-17T21:45:26Z
0.173.0,7,0,0,8,8,2015-01-15T18:28:41Z
1.6.0-beta2,1,0,0,2,1,2016-02-11T18:48:11Z
1.15.0-beta2,0,0,0,0,0,2017-02-14T18:25:01Z
1.0.16,15,0,0,12,9,2015-09-23T16:07:01Z
131,4,0,0,3,3,2014-09-24T17:24:27Z
0.191.0,15,0,0,13,6,2015-04-14T18:36:12Z
160,3,0,0,2,1,2014-12-16T23:27:39Z
1.2.1,5,0,0,2,2,2015-11-13T23:14:25Z
0.189.0,28,0,0,28,12,2015-04-01T20:13:40Z
1.15.0-beta4,9,0,0,6,6,2017-02-27T17:32:37Z
76,3,0,0,4,2,2014-03-24T16:38:40Z
85,3,0,0,6,3,2014-04-10T21:16:58Z
1.13.0-beta4,1,0,0,1,1,2016-11-17T22:46:38Z
1.17.0-beta1,4,0,0,1,1,2017-04-13T16:18:35Z
1.6.0-beta3,0,0,0,0,0,2016-02-12T20:36:54Z
1.8.0-beta2,7,0,0,7,6,2016-04-19T00:52:30Z
0.178.0,22,0,0,23,14,2015-02-10T22:16:58Z
1.12.0-beta6,12,0,0,13,12,2016-11-02T00:20:30Z
1.12.0-beta7,2,0,0,0,0,2016-11-03T04:07:03Z
1.10.0-beta2,0,0,0,1,1,2016-08-05T19:18:28Z
1.3.1,2,0,0,3,3,2015-12-10T18:49:11Z
1.13.0-beta1,0,0,0,0,0,2016-11-10T22:09:30Z
80,2,0,0,1,1,2014-03-28T21:25:09Z
1.9.0,3,0,0,2,2,2016-07-29T21:12:56Z
1.9.0-beta0,19,0,0,23,12,2016-06-06T16:24:25Z
1.4.2,12,0,0,3,3,2016-01-28T07:04:30Z
0.170.0,4,0,0,6,4,2015-01-12T17:18:15Z
146,5,0,0,5,4,2014-11-12T18:25:38Z
1.0.18,1,0,0,2,2,2015-09-24T21:09:25Z
72,5,0,0,5,3,2014-03-13T19:41:08Z
1.14.0,10,0,0,14,11,2017-02-07T23:48:24Z
1.6.0-beta8,25,0,0,26,18,2016-03-08T18:38:11Z
0.171.0,7,0,0,4,4,2015-01-13T21:04:24Z
1.14.1,0,0,0,0,0,2017-02-09T21:15:28Z
64,0,0,0,0,0,2014-03-01T23:56:21Z
1.9.1,2,0,0,5,5,2016-08-02T18:47:56Z
166,21,0,0,22,12,2015-01-05T20:45:42Z
1.11.0,0,0,0,0,0,2016-10-11T13:58:41Z
116,22,0,0,21,16,2014-07-22T17:37:37Z
103,0,0,0,0,0,2014-06-09T19:58:09Z
0.190.0,17,0,0,16,8,2015-04-07T20:32:13Z
Germanium,42,0,0,45,8,2013-10-24T16:21:57Z
1.11.0-beta4,0,0,0,0,0,2016-09-06T17:27:15Z
1.10.1,4,0,0,3,3,2016-09-06T17:26:25Z
1.7.3,23,0,0,32,13,2016-04-28T15:38:43Z
148,7,0,0,7,4,2014-11-19T19:55:45Z
97,18,0,0,19,14,2014-05-22T19:25:47Z
Antimony,15,0,0,18,4,2014-02-20T20:23:08Z
134,4,0,0,2,2,2014-10-01T16:47:29Z
1.6.2,14,0,0,9,5,2016-04-01T21:55:52Z
0.180.0,19,0,0,17,12,2015-02-17T23:59:49Z
119,2,0,0,4,3,2014-07-25T15:38:35Z
138,10,0,0,6,5,2014-10-17T19:59:42Z
0.176.0,7,0,0,7,7,2015-01-26T20:58:06Z
Silver,3,0,0,2,2,2014-01-17T18:12:05Z
89,1,0,0,0,0,2014-04-16T16:02:41Z
1.7.0-beta4,1,0,0,1,1,2016-03-30T22:51:15Z
78,0,0,0,0,0,2014-03-25T17:55:32Z
0.167.0,6,0,0,5,4,2015-01-07T22:02:57Z
1.13.0-beta5,0,0,0,0,0,2016-11-21T00:44:25Z
1.9.0-beta2,12,0,0,10,6,2016-07-27T23:30:16Z
114,10,0,0,14,10,2014-07-11T16:23:31Z
157,1,0,0,5,5,2014-12-11T21:55:00Z
Tellurium,7,0,0,5,4,2014-02-25T14:19:42Z
1.0.6,7,0,0,6,5,2015-08-11T22:59:31Z
95,55,0,0,67,54,2014-05-13T14:55:05Z
1.17.0-beta2,3,0,0,2,1,2017-04-14T15:39:17Z
1.0.2,1,0,0,2,2,2015-07-08T21:04:23Z
149,2,0,0,1,1,2014-11-19T23:58:51Z
1.0.9,7,0,0,7,5,2015-08-28T20:55:24Z
0.211.0,10,0,0,10,9,2015-06-22T20:09:11Z
1.7.0-beta2,3,0,0,4,2,2016-03-30T09:02:04Z
1.4.1,18,0,0,19,14,2016-01-25T17:41:07Z
Copper,6,0,0,6,3,2013-10-04T16:25:31Z
0.201.0,10,0,0,10,7,2015-05-21T20:37:38Z
1.7.4,38,0,0,27,19,2016-05-20T00:03:09Z
115,2,0,0,0,0,2014-07-11T20:03:44Z
1.11.0-beta5,3,0,0,2,2,2016-09-07T21:05:06Z
100,15,0,0,16,14,2014-05-29T22:19:14Z
0.199.0,27,0,0,32,18,2015-05-14T19:31:38Z
Cobalt,48,0,0,45,9,2013-10-02T17:39:02Z
1.13.0-beta3,0,0,0,0,0,2016-11-15T09:39:51Z
1.0.12,30,0,0,41,20,2015-09-17T17:43:31Z
122,6,0,0,4,4,2014-08-14T19:20:43Z
1.6.0-beta5,19,0,0,16,10,2016-02-22T19:42:17Z
1.3.3,22,0,0,31,17,2016-01-08T19:41:10Z
98,4,0,0,8,8,2014-05-23T16:23:57Z
Zinc,1,0,0,1,1,2013-10-04T20:14:54Z
0.193.0,16,0,0,13,10,2015-04-21T18:43:54Z
1.6.0-beta1,0,0,0,0,0,2016-02-10T20:19:48Z
Yttrium,18,0,0,18,6,2013-11-25T19:40:05Z
155,3,0,0,2,2,2014-12-09T21:56:33Z
133,6,0,0,8,3,2014-09-30T20:25:55Z
0.203.0,3,0,0,4,4,2015-05-28T15:11:05Z
117,2,0,0,0,0,2014-07-22T19:42:49Z
1.9.5,0,0,0,0,0,2016-08-05T18:39:34Z
1.4.0-beta0,0,0,0,0,0,2015-12-09T22:18:26Z
136,2,0,0,1,1,2014-10-06T20:29:39Z
0.205.0,13,0,0,16,9,2015-06-02T15:51:33Z
1.0.13,1,0,0,2,2,2015-09-17T23:21:52Z
94,4,0,0,4,4,2014-05-06T16:56:03Z
1.3.0-beta7,29,0,0,23,13,2015-12-08T23:10:06Z
1.12.0-beta0,106,0,0,97,54,2016-10-11T13:24:32Z
0.168.0,0,0,0,1,1,2015-01-07T23:12:22Z
1.12.5,4,0,0,5,3,2016-11-21T00:44:05Z
1.2.4,5,0,0,4,3,2015-11-20T23:54:59Z
0.181.0,5,0,0,3,3,2015-02-18T21:37:06Z
90,7,0,0,5,2,2014-04-21T16:32:53Z
1.11.0-beta2,2,0,0,2,2,2016-09-01T15:14:43Z
68,5,0,0,5,5,2014-03-06T17:06:59Z
Promethium,3,0,0,3,3,2014-02-27T23:59:06Z
Cadmium,9,0,0,11,6,2014-01-23T00:38:47Z
1.10.0-beta7,6,0,0,6,5,2016-08-23T18:55:20Z
Lanthanum,0,0,0,0,0,2014-02-26T19:23:03Z
69,2,0,0,1,1,2014-03-06T23:04:47Z
92,1,0,0,2,1,2014-04-24T16:26:04Z
1.7.0-beta0,0,0,0,2,1,2016-03-17T20:06:53Z
0.174.0,1,0,0,1,1,2015-01-15T20:07:54Z
1.12.0-beta1,0,0,0,1,1,2016-10-12T17:50:09Z
1.2.0-beta0,0,0,0,0,0,2015-10-29T18:00:42Z
140,7,0,0,9,7,2014-10-27T21:29:59Z
165,0,0,0,0,0,2014-12-20T02:59:46Z
63,6,0,0,4,2,2014-03-01T22:50:12Z
144,3,0,0,3,3,2014-11-08T03:57:23Z
1.6.0,17,0,0,11,7,2016-03-17T17:11:30Z
1.2.2,5,0,0,6,2,2015-11-18T18:58:58Z
Iron,276,62,62,286,25,2013-09-10T07:06:21Z
0.172.0,0,0,0,0,0,2015-01-13T22:11:44Z
1.0.4,31,0,0,29,16,2015-08-04T20:54:23Z
1.5.4,14,0,0,9,7,2016-03-01T19:38:50Z
1.9.2,5,0,0,3,2,2016-08-03T00:38:03Z
99,4,0,0,3,3,2014-05-23T21:00:33Z
Neodymium,0,0,0,0,0,2014-02-27T01:16:41Z
1.11.1,5,0,0,6,6,2016-10-11T22:22:04Z
1.9.4,0,0,0,1,1,2016-08-04T23:49:31Z
1.0.14,4,0,0,2,2,2015-09-18T17:20:39Z
Tin,22,0,0,19,4,2014-02-13T00:17:36Z
1.12.4,6,0,0,5,2,2016-11-17T21:32:53Z
1.0.0,3,0,0,3,3,2015-06-25T10:05:58Z
108,1,0,0,1,1,2014-07-03T16:12:48Z
0.198.0,0,0,0,0,0,2015-05-07T17:31:21Z
1.1.0-beta1,25,0,0,26,18,2015-10-07T22:29:51Z
1.11.2,5,0,0,7,7,2016-10-17T21:18:42Z
Indium,15,0,0,16,6,2014-02-03T06:51:15Z
1.6.0-beta4,15,0,0,19,12,2016-02-17T21:37:40Z
161,0,0,0,0,0,2014-12-17T02:06:28Z
106,8,0,0,8,5,2014-06-20T20:22:04Z
1.5.2,0,0,0,0,0,2016-02-11T19:02:12Z
1.7.1,1,0,0,4,4,2016-04-14T22:45:35Z
1.12.0-beta2,6,0,0,10,9,2016-10-15T03:58:14Z
1.0.19,3,0,0,1,1,2015-09-25T18:19:53Z
1.9.6,3,0,0,1,1,2016-08-06T14:40:11Z
66,6,0,0,4,4,2014-03-04T22:52:48Z
1.3.0-beta0,0,0,0,0,0,2015-11-12T16:59:32Z
1.3.0-beta5,1,0,0,0,0,2015-11-19T19:10:55Z
142,13,0,0,11,7,2014-11-05T23:37:47Z
125,25,0,0,22,9,2014-09-05T16:14:41Z
1.5.0-beta3,0,0,0,0,0,2016-02-02T19:59:42Z
105,11,0,0,7,5,2014-06-19T16:41:15Z
1.0.5,5,0,0,9,7,2015-08-06T20:40:04Z
77,4,0,0,2,2,2014-03-25T17:00:46Z
65,2,0,0,2,2,2014-03-03T23:51:39Z
1.0.10,10,0,0,17,13,2015-09-01T21:15:39Z
152,0,0,0,0,0,2014-11-24T22:51:11Z
1.11.0-beta0,1,0,0,1,1,2016-08-30T20:45:44Z
1.13.0,10,0,0,7,7,2017-01-10T18:13:18Z
Xenon,0,0,0,0,0,2014-02-26T00:41:15Z
1.13.0-beta8,3,0,0,4,4,2016-12-09T17:47:43Z
1.16.0,51,0,0,50,22,2017-04-11T18:06:14Z
73,1,0,0,1,1,2014-03-14T16:14:50Z
86,4,0,0,2,2,2014-04-14T18:10:45Z
0.186.0,2,0,0,1,1,2015-03-03T21:18:02Z
0.197.0,8,0,0,10,5,2015-05-07T01:18:41Z
0.182.0,6,0,0,5,4,2015-02-20T06:19:08Z
111,0,0,0,0,0,2014-07-08T16:29:04Z
1.7.0-beta1,0,0,0,0,0,2016-03-29T19:59:42Z
91,1,0,0,0,0,2014-04-23T18:42:02Z
113,0,0,0,0,0,2014-07-08T22:15:47Z
126,10,0,0,10,9,2014-09-10T17:22:48Z
67,2,0,0,5,3,2014-03-05T01:57:08Z
121,31,0,0,30,14,2014-08-13T12:25:03Z
118,5,0,0,6,5,2014-07-24T18:21:32Z
0.210.0,15,0,0,17,9,2015-06-17T21:11:35Z
1.9.8,9,0,0,6,4,2016-08-10T18:54:19Z
1.10.0-beta4,0,0,0,0,0,2016-08-08T19:36:22Z
1.8.0-beta3,0,0,0,0,0,2016-04-28T15:41:32Z
150,4,0,0,6,4,2014-11-20T20:16:19Z
1.13.1,17,0,0,13,10,2017-01-24T12:51:29Z
1.14.3,5,0,0,8,6,2017-02-17T16:53:06Z
158,1,0,0,2,2,2014-12-12T17:23:43Z
0.202.0,15,0,0,14,6,2015-05-27T19:56:32Z
1.10.0-beta5,0,0,0,0,0,2016-08-10T19:00:25Z
1.0.15,1,0,0,1,1,2015-09-18T21:18:30Z
0.188.0,37,0,0,37,20,2015-03-24T20:40:02Z
Krypton,7,0,0,10,5,2013-11-15T00:06:45Z
1.10.0-beta1,1,0,0,2,2,2016-08-03T14:29:20Z
1.0.17,6,0,0,6,6,2015-09-24T18:37:40Z
1.6.1,14,0,0,18,13,2016-03-29T16:08:13Z
1.13.0-beta9,32,0,0,28,15,2017-01-03T19:41:46Z
0.209.0,11,0,0,7,6,2015-06-11T16:57:30Z
1.8.0-beta4,0,0,0,0,0,2016-05-20T00:18:40Z
1.16.0-beta0,0,0,0,0,0,2017-03-08T23:50:26Z
1.3.2,0,0,0,2,2,2015-12-16T18:19:01Z
145,7,0,0,9,7,2014-11-11T17:02:19Z
1.9.7,6,0,0,4,3,2016-08-08T19:36:05Z
1.0.1,39,0,0,43,22,2015-07-08T17:43:55Z
1.12.0-beta3,3,0,0,0,0,2016-10-18T17:41:54Z
101,28,0,0,27,19,2014-06-06T17:28:04Z
1.4.0-beta2,0,0,0,0,0,2015-12-16T18:21:29Z
75,0,0,0,1,1,2014-03-20T22:22:32Z
0.177.0,21,0,0,26,17,2015-02-03T17:06:11Z
1.7.0-beta3,1,0,0,3,3,2016-03-30T17:46:02Z
1.2.0-beta2,21,0,0,26,15,2015-11-09T21:32:40Z
1.2.0-beta1,8,0,0,8,7,2015-11-02T17:48:30Z
1.12.7,16,0,0,14,11,2016-12-08T20:26:09Z
83,0,0,0,2,1,2014-04-03T22:28:54Z
151,5,0,0,5,4,2014-11-24T21:23:49Z
0.175.0,12,0,0,11,10,2015-01-21T17:53:34Z
Praseodymium,0,0,0,0,0,2014-02-26T20:00:43Z
143,2,0,0,4,4,2014-11-07T17:44:32Z
1.17.0-beta3,7,0,0,7,6,2017-04-18T16:52:31Z
1.10.0-beta3,0,0,0,0,0,2016-08-06T14:47:51Z
1.8.0-beta0,0,0,0,0,0,2016-04-13T18:39:07Z
Selenium,4,0,0,5,5,2013-10-31T00:28:57Z
1.14.0-beta2,5,0,0,5,5,2017-01-18T06:33:39Z
1.4.0-beta1,9,0,0,12,10,2015-12-15T22:02:12Z
Ruthenium,23,0,0,24,6,2013-12-17T20:42:25Z
1.3.0-beta3,0,0,0,1,1,2015-11-17T19:46:47Z
62,2,0,0,4,4,2014-02-28T18:01:54Z
1.6.0-beta7,2,0,0,4,3,2016-03-02T15:03:50Z
1.7.0,11,0,0,15,11,2016-04-13T18:38:46Z
Arsenic,11,0,0,9,4,2013-10-30T01:28:49Z
Nickel,1,0,0,0,0,2013-10-02T18:26:25Z
1.13.0-beta7,0,0,0,1,1,2016-12-08T20:42:41Z
1.6.0-beta0,0,0,0,0,0,2016-02-09T18:40:37Z
1.3.0-beta6,3,0,0,5,4,2015-11-23T18:50:56Z
135,2,0,0,2,2,2014-10-02T17:04:26Z
Palladium,7,0,0,4,2,2014-01-16T01:54:06Z
1.0.8,35,0,0,42,24,2015-08-27T17:28:31Z
107,31,0,0,31,10,2014-07-02T16:51:09Z
130,13,0,0,17,8,2014-09-23T17:03:14Z
Rubidium,4,0,0,1,1,2013-11-19T00:09:25Z
Technetium,11,0,0,10,5,2013-12-09T22:40:54Z
120,3,0,0,6,5,2014-07-28T21:08:13Z
96,16,0,0,22,16,2014-05-19T15:52:06Z
1.5.0-beta2,1,0,0,3,3,2016-02-01T19:01:52Z
1.1.0,48,0,0,53,28,2015-10-29T18:00:41Z
0.184.0,1,0,0,2,2,2015-02-25T22:20:08Z
1.15.0-beta1,0,0,0,0,0,2017-02-09T21:16:55Z
1.2.0,3,0,0,1,1,2015-11-12T16:59:31Z
1.12.1,1,0,0,2,2,2016-11-10T22:09:05Z
123,3,0,0,5,5,2014-08-15T19:17:09Z
1.12.3,1,0,0,1,1,2016-11-15T09:38:55Z
Zirconium,13,0,0,13,5,2013-12-04T19:26:06Z
0.207.0,2,0,0,4,4,2015-06-05T19:05:05Z
1.13.0-beta10,0,0,0,0,0,2017-01-04T23:21:31Z
1.14.0-beta1,19,0,0,14,9,2017-01-14T00:41:58Z
1.6.0-beta6,8,0,0,11,9,2016-02-26T19:34:51Z
1.8.0-beta1,0,0,0,0,0,2016-04-14T22:55:09Z
1.13.0-beta2,1,0,0,0,0,2016-11-11T21:38:11Z
1.13.0-beta6,0,0,0,0,0,2016-11-25T13:22:27Z
154,11,0,0,11,8,2014-12-09T00:54:30Z
129,0,0,0,0,0,2014-09-16T17:02:45Z
1.4.3,5,0,0,5,3,2016-02-02T19:50:47Z
127,3,0,0,2,2,2014-09-11T20:45:26Z
0.179.0,1,0,0,5,3,2015-02-11T20:20:24Z
1.14.0-beta3,0,0,0,1,1,2017-01-25T09:04:11Z
1.7.2,0,0,0,0,0,2016-04-19T00:52:46Z
70,4,0,0,2,2,2014-03-10T15:52:35Z
153,17,0,0,19,10,2014-12-05T16:44:28Z
1.9.9,0,0,0,0,0,2016-08-17T23:27:06Z
1.12.0-beta4,5,0,0,9,9,2016-10-25T01:30:09Z
147,18,0,0,14,6,2014-11-18T17:36:14Z
104,22,0,0,21,14,2014-06-17T18:55:53Z
84,4,0,0,2,1,2014-04-04T21:03:51Z